OS,Ubuntu 14.04 (and derivatives),Ubuntu 16.04 (and derivatives)
 AmorControlboard, yes, yes
 AravisGigE, yes, yes
 CanBusControlboard, yes,yes
 CanBusHico, yes,?
 CuiAbsolute, yes, yes
 FakeJoint, yes, yes
 GrabberControls2Gui, yes, yes
 Jr3, yes, ?
 LacqueyFetch, yes, yes
 LeapMotionSensor, yes, yes
 OneCanBusOneWrapper, yes, yes
 PhidgetSpatial, ?, ?
 ProximitySensorsClient,yes, yes
 SpaceNavigator, yes, yes
 TechnosoftIpos, yes, yes
 TextilesHand, yes, yes
 TwoCanBusThreeWrappers, yes, yes
 WiimoteSensor, yes, yes
